Title,Description,Date
Sugar stocks rise up to 6% amid buzz of govt mulling ethanol price hike proposal,"Sugar stocks climbed up to 5% after reports that the government is considering raising ethanol prices to boost production and meet the 20% blending target by 2025-26. 
",08/13/2024
Hold Jubilant FoodWorks; target of Rs 612: Prabhudas Lilladher,"Prabhudas Lilladher recommended hold rating on Jubilant FoodWorks with a target price of Rs 612 in its research report dated August 09, 2024. 
",08/13/2024
Speed breaker: Inventory glut could trigger correction in four-wheeler stocks,"If such a trend continues, a 15-20 percent correction in stock prices is likely, like the one seen in 2018-19 when auto sales started slowing. 
",08/13/2024
Reduce NOCIL; target of Rs 262: Prabhudas Lilladher,"Prabhudas Lilladher recommended reduce rating on NOCIL with a target price of Rs 262 in its research report dated August 09, 2024. 
",08/13/2024
Torrent Pharma may raise up to $3 billion for KKR's stake in JB Chemicals: Report,"Moneycontrol had reported in April that KKR is in talks with Torrent Pharma to sell its majority stake in JB Chemicals. 
",08/13/2024
Accumulate ABB India; target of Rs 8833: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on ABB India with a target price of Rs 8833 in its research report dated August 12, 2024. 
",08/13/2024
Accumulate Siemens; target of Rs 7362: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on Siemens with a target price of Rs 7362 in its research report dated August 12, 2024. 
",08/13/2024
Accumulate Zydus Lifesciences; target of Rs 1305: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on Zydus Lifesciences with a target price of Rs 1305 in its research report dated August 12, 2024. 
",08/13/2024
Accumulate Bharat Forge; target of Rs 1701: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on Bharat Forges with a target price of Rs 1701 in its research report dated August 09, 2024. 
",08/13/2024
"Aarti Industries down 15% on doubts over EBITDA guidance, China squeezing margins","Brokerage Emkay has cut the FY25 and FY26 EPS guidance due to lack of clarity on EBITDA guidance. Morgan Stanley said an evolving product mix is the reason behind volatility in the margins. 
",08/13/2024
RVNL stock gains on MSCI India Index inclusion; Antique resumes coverage with 'sell' rating,"RVNL shares continued to rise, driven by investor optimism following its inclusion in the MSCI India index, despite reporting a 35 percent drop in Q1FY25 net profit. 
",08/13/2024
"Mid-day Mood | Nifty, Sensex remain in red as bank, realty stocks slip","Of the 13 indices, Nifty Bank was worst-hit, slipping 0.6 percent led majorly by HDFC Bank and Bandhan Bank. 
",08/13/2024
"Accumulate Shree Cement; target of Rs 27,524: Prabhudas Lilladher","Prabhudas Lilladher recommended accumulate rating on Shree Cement with a target price of Rs 27,524 in its research report dated August 08, 2024. 
",08/13/2024
Accumulate Pidilite Industries; target of Rs 3383: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on Pidilite Industries with a target price of Rs 3383 in its research report dated August 08, 2024. 
",08/13/2024
"Nifty trades in red; breakout above 24,400 needed to drive upside momentum","The zone of 24,200-24,150 will act as immediate support for the index as the lower trendline of the Bearish Flag pattern is placed in that region, says an analyst 
",08/13/2024
Sell Steel Authority of India; target of Rs 112: Prabhudas Lilladher,"Prabhudas Lilladher is bearish on Steel Authority of India has recommended sell rating on the stock with a target price of Rs 112 in its research report dated August 09, 2024. 
",08/13/2024
Buy HealthCare Global Enterprises; target of Rs 420: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on HealthCare Global Enterprises has recommended buy rating on the stock with a target price of Rs 420 in its research report dated August 12, 2024. 
",08/13/2024
Buy J.B. Chemicals and Pharmaceuticals; target of Rs 2100: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on J.B. Chemicals and Pharmaceuticals has recommended buy rating on the stock with a target price of Rs 2100 in its research report dated August 10, 2024. 
",08/13/2024
Buy Oil India; target of Rs 766: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Oil India has recommended buy rating on the stock with a target price of Rs 766 in its research report dated August 09, 2024. 
",08/13/2024
Olectra Greentech stock zooms 12% as investors cheer Q1 earnings,"Olectra Greentech shares surged over 12% after reporting a 34% YoY jump in net profit and a 45% YoY increase in revenue for Q1FY25, with strong EBITDA and EPS growth. 
",08/13/2024
Buy Eicher Motors; target of Rs 5335: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Eicher Motors has recommended buy rating on the stock with a target price of Rs 5335 in its research report dated August 09, 2024. 
",08/13/2024
Buy Signature Global; target of Rs 2000: Motilal Oswal,"Motilal Oswal is bullish on Signature Global recommended buy rating on the stock with a target price of Rs 2000 in its research report dated August 13, 2024 
",08/13/2024
HDFC Bank stock slips 3% as MSCI's lower-than-expected weight change disappoints investors,"MSCI's decision to increase the bank's weightage in two stages instead of one also didn't go well with the investors 
",08/13/2024
PCBL: Will growth accelerate with the new acquisition?,"The newly acquired business of water treatment chemicals is doing well. While the company has additional diversification plans on specialty chemicals, a sharp jump in leverage can hold it back in the near term. 
",08/13/2024
Sky Gold: Sparkling growth prospects,"The company is emerging as a preferred manufacturer of lightweight jewellery, given the varied design offerings as well as the recent shift to a much larger plant. 
",08/13/2024
"Ola Electric Mobility shares pare gains, now up only 4% after a two-day upper circuit","The newly listed company's shares made a debut at par with the issue price of Rs 76, but have since been rising to rally 58 percent in just three days. 
",08/13/2024
"Agri Picks Report August 13, 2024: Geojit Financial Services","According to Geojit, Prime Minister Narendra Modi released 109 high-yielding, climate-resilient, and bio-fortified seed varieties of crops at the India Agricultural Research Institute, according to an agriculture ministry release. 
",08/13/2024
"Inox Wind surges to scale new peak, stock up 347% in a year; should you buy?","With a robust order book, strong execution capability, technological readiness, and net interest-free debt, Inox Wind is well-positioned to build on its growth momentum, according to Axis Securities. 
",08/13/2024
"Nifty and Sensex quiet, HDFC Bank lower after MSCI rejig, Ola Electric higher","HDFC Bank shares slipped after the lender is set to see its weightage in the MSCI Global Standard index increase in two phases, as announced by MSCI on August 13. 
",08/13/2024
Power Grid bags LoI for inter-states transmission power project,"Power Grid Corporation of India Share Price | The company had reported a consolidated net profit of Rs 3,723.92 crore for the first quarter of financial year 2024-25, up 3 percent from Rs 3,597.16 crore a year ago. 
",08/13/2024
Shivalik Bimetal Q1: Soft quarter with a promising outlook,"Temporary headwinds in the international market persist while focus on high-profile clients along with major expansionary plans will support growth 
",08/13/2024
"RateGain Q1 FY25 — a soft quarter, all eyes on acquisitions","The company has a track record of turning around acquired entities 
",08/13/2024
"Nifty fairly valued after recent correction, says MOFSL; analysts favour PSU Banks, Industrials, Real Estate","Markets maintain premium valuations, with Nifty trading at 20.3x one-year forward earnings, supported by robust growth, stable macroeconomic conditions, and political stability. 
",08/13/2024
Chart of the Day: India Inc is using its capital more efficiently than ever,"The number of companies generating more than 15 percent return on equity has increased significantly from FY16-20 
",08/13/2024
Interarch Building Products sets price band of Rs 850-900 a share for IPO,"The IPO consists of a fresh issue of Rs 200 crore and an offer for sale of upto 44.48 lakh shares by its existing promoters and shareholders. On the upper price band, the OFS comes at around Rs 400 crore. 
",08/13/2024
"Closing Bell: Nifty below 24,150, Sensex plunges 693 pts; all sectors in the red","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty, while losers are Shriram Finance, BPCL, HDFC Life, HDFC Bank and Bajaj Finance. All the sectoral indices ended in the red with bank, power, oil & gas, metal, media, telecom down 1 percent each.  BSE Midcap and Smallcap indices lost 1 percent each. 
",08/13/2024
First Tick: Top 10 global cues for today’s trade,"The GIFT Nifty is indicating a flat start for the day. 
",08/13/2024
"NSE shares to see limited upside going ahead, say broking firms","Markets experts believe that since NSE enjoys a huge dominant position in the F&O segment, any hit in the volume would impact the financials of the bourse and hence the valuation as well. 
",08/13/2024
"Stock Radar: Vodafone Idea, Orchid Pharma, JSW Steel, FirstCry, Hindustan Copper, Power Grid in focus on Tuesday","NMDC, Housing & Urban Development Corporation, 63 Moons Technologies, Indian Railway Finance Corporation, Camlin Fine Sciences, Kotak Mahindra Bank, Wipro, and Aditya Birla Sun Life AMC will also be in focus on Tuesday. 
",08/13/2024
"Trade Spotlight: How should you trade Orchid Pharma, India Glycols, Inox Green Energy, NBCC, and others on Tuesday?","A close above 24,500 could drive the Nifty 50 towards the 24,700-24,800 zone, but if it stays below this level, consolidation and range-bound trading may continue with 24,200 as support. Here are some trading ideas for the near term. 
",08/13/2024
Hold Bata India: target of Rs 1560: Sharekhan,"Sharekhan recommended hold rating on Bata India with a target price of Rs 1560 in its research report dated August 08, 2024. 
",08/13/2024
Hold Blue Star: target of Rs 1772: Sharekhan,"Sharekhan recommended hold rating on Blue Star with a target price of Rs 1772 in its research report dated August 08, 2024. 
",08/13/2024
Hold Pidilite Industries: target of Rs 3397: Sharekhan,"Sharekhan recommended hold rating on Pidilite Industries with a target price of Rs 3397 in its research report dated August 08, 2024. 
",08/13/2024
Buy Shree Cement; target of Rs 28000: Sharekhan,"Sharekhan is bullish on Shree Cement has recommended buy rating on the stock with a target price of Rs 28000 in its research report dated August 07, 2024. 
",08/13/2024
Buy Lupin; target of Rs 2400: Sharekhan,"Sharekhan is bullish on Lupin has recommended buy rating on the stock with a target price of Rs 2400 in its research report dated August 07, 2024. 
",08/13/2024
Buy Cummins India; target of Rs 4300: Sharekhan,"Sharekhan is bullish on Cummins India has recommended buy rating on the stock with a target price of Rs 4300 in its research report dated August 07, 2024. 
",08/13/2024
Buy Century Plyboards India; target of Rs 840: Sharekhan,"Sharekhan is bullish on Century Plyboards India has recommended buy rating on the stock with a target price of Rs 840 in its research report dated August 07, 2024. 
",08/13/2024
Buy Indigo Paints; target of Rs 1750: Sharekhan,"Sharekhan is bullish on Indigo Paints has recommended buy rating on the stock with a target price of Rs 1750 in its research report dated August 07, 2024. 
",08/13/2024
Buy Aditya Birla Fashion & Retail; target of Rs 385: Sharekhan,"Sharekhan is bullish on Aditya Birla Fashion & Retail has recommended buy rating on the stock with a target price of Rs 385 in its research report dated August 07, 2024. 
",08/13/2024
Buy Godrej Consumer Products; target of Rs 1675: Sharekhan,"Sharekhan is bullish on Godrej Consumer Products has recommended buy rating on the stock with a target price of Rs 1675 in its research report dated August 07, 2024. 
",08/13/2024
Buy Bosch; target of Rs 35968: Sharekhan,"Sharekhan is bullish on Bosch has recommended buy rating on the stock with a target price of Rs 35968 in its research report dated August 07, 2024. 
",08/13/2024
Buy Radico Khaitan; target of Rs 1995: Sharekhan,"Sharekhan is bullish on Radico Khaitan has recommended buy rating on the stock with a target price of Rs 1995 in its research report dated August 08, 2024. 
",08/13/2024
Buy PI Industries; target of Rs 5049: Sharekhan,"Sharekhan is bullish on PI Industries has recommended buy rating on the stock with a target price of Rs 5049 in its research report dated August 08, 2024. 
",08/13/2024
Buy Gokaldas Exports; target of Rs 949: Sharekhan,"Sharekhan is bullish on Gokaldas Exports has recommended buy rating on the stock with a target price of Rs 949 in its research report dated August 08, 2024. 
",08/13/2024
Buy Apollo Tyres; target of Rs 563: Sharekhan,"Sharekhan is bullish on Apollo Tyres has recommended buy rating on the stock with a target price of Rs 563 in its research report dated August 08, 2024. 
",08/13/2024
Buy Eicher Motors; target of Rs 5307: Sharekhan,"Sharekhan is bullish on Eicher Motors has recommended buy rating on the stock with a target price of Rs 5307 in its research report dated August 08, 2024. 
",08/13/2024
Buy Abbott India; target of Rs 32000: Sharekhan,"Sharekhan is bullish on Abbott India has recommended buy rating on the stock with a target price of Rs 32000 in its research report dated August 08, 2024. 
",08/13/2024
Bulk Deals: Amansa Holdings buys 0.79% stake in Saregama India,"Hill Fort India Fund LP sold 20.39 lakh shares or a 1.06 percent stake in Saregama India for an average price of Rs 480.1. 
",08/13/2024
"Gas produced from new ONGC, OIL wells can be priced at 20% premium to APM","The higher price for new gas makes the development of the projects viable, ONGC said, adding that it will help the company enhance productions in challenging fields. 
",08/13/2024
"Nifty, Sensex end flat, erase gains as FMCG, PSU banks dampen sentiment","The India VIX, also known as the volatility index, rose over 3 percent to settle at about 16 
",08/13/2024
"Taking Stock: Sensex, Nifty end flat amid Hindenburg allegations; smallcaps outperform","Hero MotoCorp, Axis Bank, ONGC, Infosys and JSW Steel were among the major gainers on the Nifty, while losers included NTPC, Britannia Industries, Adani Ports, SBI, and Dr Reddy's Labs. 
",08/13/2024
Gainers & losers: Stocks and sectors that moved the most on August 12,"Markets were quick to shrug off early jitters from a new Hindenburg Research report alleging the SEBI chief's involvement in offshore entities connected to the Adani Group. Consequently, the Indian benchmarks--the Nifty 50 and Sensex, closed the day largely unchanged. 
",08/13/2024
Buy Lemon Tree Hotels; target of Rs 159: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Lemon Tree Hotels has recommended buy rating on the stock with a target price of Rs 159 in its research report dated August 08, 2024. 
",08/13/2024
Allied Blenders stock jumps over 8% on collaboration reports with 2 global spirits companies,"Listed just a month back, the stock of Allied Blenders has surged nearly 13 percent from IPO's upper price band of Rs 281 apiece 
",08/13/2024
Buy Krishna Institute of Medical Sciences; target of Rs 2400: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Krishna Institute of Medical Sciences has recommended buy rating on the stock with a target price of Rs 2400 in its research report dated August 08, 2024. 
",08/13/2024
"Hero MotoCorp Q1 Preview: Robust volumes, premiumization trend to drive earnings","Analysts suggest recovery in rural regions, traction and timeline of new product launches and demand outlook are key factors to watch out for in the coming quarters. 
",08/13/2024
"Inox Wind shares soar 20 percent on robust execution guidance, strong Q1 show","Q1FY25 saw the best financial performance ever for Inox Wind. Inox Wind on Friday posted a Rs 50 crore net profit for the June quarter as income rose, compared to a loss of Rs 65 crore in the April-June quarter of the preceding financial year. 
",08/13/2024
Option strategy of the day | Long build up in ONGC; Covered call recommended,"ONGC ltd price has shown a strong price-volume breakout on the daily charts 
",08/13/2024
"Sun TV stock plummets over 10% on weak Q1 print, brokerage downgrades","Brokerages expressed their dissatisfaction with the results, downgrading the stock due to high valuations and concerns over future earnings potential 
",08/13/2024
"Suzlon Energy stock locked at 5% upper circuit, hits multi-year high; shares soar 300% in a year","Suzlon Energy is a vertically integrated wind turbine manufacturer and O&M service provider with over 20.7GW of installed capacity across the globe. 
",08/13/2024
"Hindenburg's report on Sebi chief a 'conspiracy', will not destabilise markets: Madhu Kela","The market veteran pointed out that the report seemed filled with 'conspiracy' claims and failed to present any clear, actionable allegations 
",08/13/2024
"Accumulate Shree Cement; target of Rs 26,083: KR Choksey","KR Choksey recommended accumulate rating on Shree Cement with a target price of Rs 26,083 in its research report dated August 09, 2024. 
",08/13/2024
"Buy Balaji Amines; target of Rs 2,569: KR Choksey","KR Choksey is bullish on Balaji Amines has recommended buy rating on the stock with a target price of Rs 2,569 in its research report dated August 09, 2024. 
",08/13/2024
Buy Lupin; target of Rs 2443: KR Choksey,"KR Choksey is bullish on Lupin has recommended buy rating on the stock with a target price of Rs 2443 in its research report dated August 08, 2024. 
",08/13/2024
Buy PI Industries; target of Rs 5184: KR Choksey,"KR Choksey is bullish on PI Industries has recommended buy rating on the stock with a target price of Rs 5184 in its research report dated August 12, 2024. 
",08/13/2024
"RVNL, Ircon, other railway PSU stocks surge up to 8% on cabinet nod to Rs 24,657 crore projects","Shares of Rail Vikas Nigam Ltd (RVNL) surged 8% alongside other railway PSUs after the Cabinet approved Rs 24,657 crore worth of railway projects across seven states. 
",08/13/2024
"LIC – modest performance in Q1 FY25, but valuation remains main draw","Margins improvement will take time, but the product-mix story is playing out 
",08/13/2024
"Mid-day Mood | Nifty, Sensex shrug off Hindenburg charges, recover from day's lows as realty, metal stocks shine","The Nifty Realty index was the brightest spark in the afternoon after advancing over one percent. Stocks such as DLF, Prestige Estates, Brigade Enterprises and Oberoi Realty kept the sentiment in the sector upbeat. 
",08/13/2024
Recent allegations made by Hindenburg are unwarranted: Indian venture and alternate capital association backs SEBI chief,"IVCA expressed full confidence in Ms. Buch's leadership and her ability to navigate these allegations. 
",08/13/2024
"Bharat Dynamics stock plummets 19% on weak Q1 results; brokerages bullish, should you buy the dip?","Antique has maintained 'buy' recommendation Bharat Dynamics stock with a price target of Rs 1,641, saying that execution normalisation will be the key for further re-rating of the stock. 
",08/13/2024
"Quant MF buys ITC shares worth Rs 3,669 crore in July, trims HDFC Bank stake","Quant Mutual Fund purchased shares worth Rs 3,669 crore in ITC in July. Simultaneously, the fund sold 2.95 crore shares in HDFC Bank, worth Rs 4,763 crore. 
",08/13/2024
Aavas Financiers — Will promoter change alter the stock’s fortunes for the better?,"Aavas’s buyout is the largest deal in affordable housing finance sector and will end the supply overhang for the stock 
",08/13/2024
"Jubilant Food jumps 3%, hits 52-week high on strong Q1 results","Despite this impressive performance, brokerages remain cautious, citing lukewarm quick service restaurant (QSR) performance and high valuations 
",08/13/2024
Voltas shares zoom 9% to record high on solid Q1 earnings,"Voltas' strong results for the April-June quarter were driven by robust sales growth in its unitary cooling products and a turnaround in its Electro-Mechanical Projects and Services business. 
",08/13/2024
Trent: Industry-leading show continues,"While the stock’s valuations are at a premium, the consistent industry-leading performance and robust earnings outlook would continue to drive it. 
",08/13/2024
"Adani Green Energy stock slides 4% despite Emkay's 'Buy' rating, influenced by new Hindenburg report","Emkay Global initiates coverage on Adani Green Energy with a 'buy' rating and a target price of Rs 2,550 per share.Despite the bullish stance, the stock slipped 4% due to controversy surrounding a new Hindenburg Research report. 
",08/13/2024
Shipping Corporation stock zooms 10% on stellar Q1 earnings; up 170% in a year,"Shipping Corporation reported a 70 percent YoY jump in net profit at Rs 291.5 crore for the first quarter that ended June 30, 2024. 
",08/13/2024
"Amara Raja shares gain on signing MoU with Piaggio Vehicles, inaugurates battery pack plant","Amara Raja Advanced Cell Technologies (ARACT), a wholly owned subsidiary of Amara Raja Energy & Mobility (ARE&M) has signed a (MoU) with Piaggio Vehicles, a 100% Indian subsidiary of the Italian auto giant, Piaggio Group 
",08/13/2024
Emami: Summer-centric portfolio shines in Q1,"Valuation re-rating, backed by improved financial performance, offers comfort. 
",08/13/2024
Atul share price gains after subsidiary gets EIR from USFDA,"Atul share price | The company had reported 8.25 percent jump in its June quarter net profit at Rs 111.88 crore versus Rs 103.35 crore in June 2023. 
",08/13/2024
"Nifty, Sensex dip as Hindenburg report on SEBI chief sparks jitters; Adani stocks in red","ll companies of the Gautam Adani-led empire were trading in the red. The flagship entity, Adani Enterprises, fell 4 percent while Adani Ports and Special Economic Zone fell over 2 percent. 
",08/13/2024
Mutual funds absorb FII selling in finance stocks in July,"For mutual funds, the top buys in the space were HDFC Bank wherein they bought shares worth Rs 2,648 crore, followed by Axis Bank (Rs 2,143 crore), State Bank of India (Rs 1,468 crore), and Punjab National Bank (Rs 780 crore). 
",08/13/2024
"Zydus Life shares drop as profit booking seeps in after stellar Q1 show, record high margins","While many brokerages have raised their price targets for Zydus Life following its impressive quarterly performance, some have noted that the stock's limited upside potential is due to current valuations already reflecting future growth prospects. 
",08/13/2024
Berger Paints Q1: Can it add the right colour to your portfolio?,"Gaining market share consistently; however, potential competition takes shine off the stock 
",08/13/2024
"Agri Picks Report August 12, 2024: Geojit Financial Services","According to Geojit, Water level in 150 key reservoirs of the country as of Thursday was 115.736 bcm, 65% of the total live storage capacity of 178.784 bcm, according to data from the Central Water Commission. 
",08/13/2024
Safari Q1 FY25 – Is the weakness a trend reversal?,"Diverse product offerings, channel mix, and a frugal approach to costs should stand the company in good stead 
",08/13/2024
Live: Hindenburg allegations against SEBI chief to hit sentiment? Adani shares in focus|Opening Bell,"Indian equity market closed one percent higher after a gap-up opening on Friday but failed to sustain above the short-term moving averages (10 and 21-day EMA), which coincides with the 24,400 mark. This is a crucial level to watch for further upside towards 24,700, the upper end of the bearish gap created on August 5. If the index fails to close and sustain above 24,400, consolidation may continue with support at the 24,100-24,000 zone, according to experts. The Nifty 50 finished the week 1.4 percent down at 24,368. This morning GIFT Nifty is hinting at a mildly negative start. Investors will be watching out for any reaction to the Hindenburg allegations against SEBI chief Madhabi Puri Buch and her husband saying that they had stakes in offshore funds used by the Adani group.  Among stocks in focus, watch out for Adani Group stocks, Jubilant Foodworks, Honasa, Bharat Dynamics and Mazagon Dock. Catch Nandita Khemka in conversation with Kunal Rambhia—Fund Manager, The Streets. 
",08/13/2024
First Tick: Top 10 global cues for today’s trade,"The GIFT Nifty is indicating a flat to negative start for the day. 
",08/13/2024
Fortis Healthcare’s diagnostic unit is a grown-up child who never leaves home,"The diagnostics unit is facing growth headwinds amid change in brand name 
",08/13/2024
"Brokerage Radar: Alkem Labs gets neutral calls, but Alembic Pharma, Biocon see downgrades","Check out the latest brokerage calls and analyst comments on the stocks in action today. Our coverage includes Alkem Laboratories, Trent, Zydus Life, Biocon, and ABB India, among others. 
",08/13/2024
"Closing Bell: Sensex, Nifty end flat amid volatility; realty gains, FMCG, PSU Banks drag","BSE Midcap index ended flat, while smallcap index was up 0.5 percent. 
",08/13/2024
"Stock Radar: Siemens, Aurobindo, Honasa, Aarti Industries, Atul, Amara Raja in focus on Monday","Metropolis Healthcare, Cello World, PNC Infratech, Advanced Enzyme Technologies, General Insurance Corporation of India, BGR Energy Systems, Shipping Corporation of India, and Balkrishna Industries will also be in focus on Monday. 
",08/13/2024
"Nifty's close above 24,500 could signal bullish reversal, bet on these 3 stocks for healthy return in short term, says Jigar Patel","Given the current price action, an upside breakout seems more likely, suggesting that a move above 24,500 could pave the way for further gains in the Nifty 50. 
",08/13/2024
"Trade Spotlight: How should you trade Affle, MCX India, KIMS, MPS, Patanjali Foods, and others on Monday?","According to experts, the Nifty 50 needs to break its consolidation by decisively climbing above 24,400, which could open the doors for 24,700, while 24,100-24,000 is expected to be a key support zone. Here are some trading ideas for the near term. 
",08/13/2024
Market Meltdown: Top firms lose Rs 1.66 lakh crore; Reliance and LIC hit hardest,"State Bank of India saw its market value diminish by Rs 21,151.33 crore, bringing its total to Rs 7,35,566.52 crore. Infosys and Tata Consultancy Services (TCS) followed with declines of Rs 20,973.19 crore and Rs 19,157.77 crore, respectively, resulting in valuations of Rs 7,35,277.28 crore and Rs 15,30,469.11 crore. 
",08/13/2024
"Market falls for second week, rupee hits fresh record low","The Indian rupee touched fresh record low of 83.96 during the week. 
",08/13/2024
Broader indices fall but these 30 smallcaps give double digit gains,"During the week, the BSE Smallcap index, BSE Largecap index and BSE Midcap index shed 2 percent, 1.5 percent and 1 percent, respectively. 
",08/13/2024
"Ola Electric Mobility shares freeze at 20% upper circuit, close at Rs 91.18","Ola Electric Mobility closed the first day with a market capitalisation of Rs 40,226 crore. 
",08/13/2024
Interarch Building Products set to launch its IPO next week: Source,"The IPO will consist of a fresh issue of shares worth up to Rs 200 crore and an offer for sale (OFS) of up to 44.5 lakh shares by the promoter group and investor-selling shareholders 
",08/13/2024
"Taking Stock: Market bounces back; Sensex rises 820 pts, Nifty above 24,350","Eicher Motors, ONGC, Tech Mahindra, Tata Motors and Shriram Finance were among the top gainers on the Nifty, while losers were BPCL, HDFC Life, Kotak Mahindra Bank, Divi's Labs and Sun Pharma. 
",08/13/2024
"Live: Nifty stages solid rebound to reclaim 24,300; autos top movers led by Eicher| Closing Bell","Stocks make a solid comeback as global optimism spreads, with Nifty surging over 250 points to briefly reclaim 24,400. While broader markets underperform benchmarks, the NSE advance-decline ratio is almost 3:2, and the India VIX slides nearly 8 percent below 16. All sectors gain, led by Autos, PSU banks, and Realty. Catch Nandita Khemka and Yatin Mota as they discuss stocks on their radar
#stockmarket, #sharemarket #nifty #sensex #marketclosing 
",08/13/2024
"Sell Bosch; target of Rs 25,221: ICICI Securities","ICICI Securities is bearish on Bosch has recommended sell rating on the stock with a target price of Rs 25,221 in its research report dated August 07, 2024. 
",08/13/2024
"Reduce Cummins India; target of Rs 3,280: ICICI Securities","ICICI Securities recommended accumulate rating on Cummins India with a target price of Rs 3,280 in its research report dated August 08, 2024. 
",08/13/2024
"Hold Dr Lal Pathlabs; target of Rs 3,240: ICICI Securities","ICICI Securities recommended hold rating on Dr Lal Pathlabs with a target price of Rs 3,240 in its research report dated August 08, 2024. 
",08/13/2024
Hold Varroc Engineering; target of Rs 595: ICICI Securities,"ICICI Securities recommended hold rating on Varroc Engineering with a target price of Rs 595 in its research report dated August 07, 2024. 
",08/13/2024
Hold Century Plyboards; target of Rs 687: ICICI Securities,"ICICI Securities recommended hold rating on Century Plyboards with a target price of Rs 687 in its research report dated August 08, 2024. 
",08/13/2024
Buy Motilal Oswal Financial Services; target of Rs 703: ICICI Securities,"ICICI Securities is bullish on Motilal Oswal Financial Services has recommended buy rating on the stock with a target price of Rs 703 in its research report dated August 08, 2024. 
",08/13/2024
"Hold Shree Cement; target of Rs 24,184: ICICI Securities","ICICI Securities recommended hold rating on Shree Cement with a target price of Rs 24,184 in its research report dated August 08, 2024. 
",08/13/2024
"Buy Gulf Oil Lubricants India; target of Rs 1,375: ICICI Securities","ICICI Securities is bullish on Gulf Oil Lubricants India has recommended buy rating on the stock with a target price of Rs 1375 in its research report dated August 07, 2024. 
",08/13/2024
"Buy Solar Industries; target of Rs 13,250: ICICI Securities","ICICI Securities is bullish on Solar Industries has recommended buy rating on the stock with a target price of Rs 13,250 in its research report dated August 08, 2024. 
",08/13/2024
