Title,Description
"Moneycontrol Pro Panorama | RIA framework reforms a positive move, but safeguards are essential","Moneycontrol's Pro Panorama August 7 edition: Cryptocurrencies fail safe haven test, Bangladesh chaos creates security issues with India, jobs’ policy pivot can sort consumption problems, can SBI get away with low deposit growth? and more 
"
Rupee plunges to record low of 83.9725 against US dollar: Here's why,"The rupee INR=IN declined to a record low of 83.9725 against the U.S. dollar, eclipsing its previous lifetime low of 83.96 hit on Tuesday 
"
DPDP: Rules of data protection act likely to be out by end of ongoing Parliament session for consultation,"The upcoming rules may bring in exemptions for certain institutions from restrictions on processing of personal data, put onus on data fiduciaries to immediately inform data protection board in case of breaches and so on 
"
"Foreign inflows into Asian equities slow sharply in July, hit by tech slump","Fears of a second Trump presidency also sparked concerns that his administration might impose new tariffs on exports from the region, similar to measures taken during his previous term 
"
Short-term pressure on rupee unlikely to affect exports: Experts,"The domestic currency's depreciation has been less than what has been seen for competing currencies like the Vietnamese dong and Indonesian rupiah, tempering the country's competitiveness in overseas markets. 
"
The Federal Reserve will not let markets dictate a rate cut,"Stock moves are not a reliable signal of looming economic downturn 
"
"Uneven rainfall, low reservoir levels keep rice sowing 25% lower, pulses acreage dips slightly","Major rice-producing states of West Bengal and Bihar, with lowest reservoir levels compared to normal, had a 7.3 percent and 4.8 percent lower rice acreage 
"
India considering major cut to food weighting in new CPI basket,"The panel, under the statistics ministry, is discussing a proposal to reduce the weight of food in the consumer price basket by as much as 8 percentage points, according to the person, who asked not to be identified as the discussions are private. The food and beverage category makes up 54.2% of the current CPI basket. 
"
RBI asks top banks to refrain from large trading bets against rupee,"Officials from the RBI's financial markets regulation and operations department rang big banks on Tuesday, when the currency was at risk of breaching the 84/$ level in the spot market, the bankers, who declined to be identified since they are not authorised to speak to the media, said. 
"
RBI may keep stance unchanged on Thursday but prepare markets for a change,"The RBI policy will be watched more closely for what it says on the current war for deposits waged by banks. 
"
RBI's firm grip to keep rupee anchored in narrow range: Poll,"A sharp fall in global equities related to sudden liquidation of carry trades, where investors borrow in cheap currencies to invest in higher yielding assets elsewhere, pushed the rupee to an all-time low of 83.96 per dollar on Tuesday. 
"
Morgan Stanley to allow advisers to offer Bitcoin ETFs to wealthy clients,"The company in a memo told its 15,000-strong adviser base they can offer some clients to buy either BlackRock Inc.’s iShares Bitcoin Trust (ticker IBIT) or the Fidelity Wise Origin Bitcoin Fund (FBTC), the person said. 
"
"Gold plunges Rs 1,100 to Rs 71,700 per 10g; silver plummets Rs 2,200","The precious metal had closed at Rs 72,800 per 10 grams in the previous session 
"
Food Price Falling: Goodbye grocery greedflation and shrinkflation,"The tide is turning on food prices. Consumers can rejoice, but manufacturers and stores should worry 
"
US recession fears should be much milder this time,"The economy is in much better condition now than it was a decade and a half ago, so a downturn is less scary 
"
Rupee ends at record closing low due to weakness in Asia FX,"The rupee hit an all-time low of 83.96 per U.S. dollar before closing at 83.9525, down 0.1% from its close of 83.8450 in the previous session 
"
What bankers say you should (and shouldn’t) do when markets crash,"In recent days, financial markets have shifted from confident to fearful as grim milestones piled up 
"
"Moneycontrol Pro Panorama | As markets rebound, is it business as usual?","In this edition of Moneycontrol Pro Panorama: Japan triggers a market tsunami but can it continue, explaining the slow bank credit growth, Bangladesh needs an out from this binary party trap, reforms in the Waqf — calls for accountability, and more 
"
"Shattered glass: Broken and bruised, Bangladesh emerges out of an economic mirage","Bangladesh’s economy was set to expand 6.6 percent in FY25, as per IMF 
"
"MCA explores disciplinary action against CAs, company secretaries in 500 Chinese companies","The ministry has found that many of these companies are non-existent at their registered addresses. In some cases, they had received investment but were now into businesses other than what they were registered for. These are incorporation-related frauds. 
"
"India will lower rates by 100 bps by March 2026, Bank of America official says","""Once inflation reaches 4%, and based on the real rate assumption, there is chance for repo (rate) to reach 5.50%,"" Vikas Jain, head of fixed income, currencies and commodities at the bank said in an interview on Tuesday. ""Core inflation is consistently showing lower prints."" 
"
GST notices to foreign airlines may dampen India's strong aviation potential: IATA,"Urging the government to resolve the matter, the International Air Transport Association (IATA) said it is disappointed that the Directorate General of GST Intelligence (DGGI) has proceeded to issue show cause notices to some foreign airlines operating to India despite a number of representations made by the industry on this matter. 
"
"Farmers pay Rs 32,440 crore premium under PMFBY; claims worth over Rs 1.64 lakh crore cleared","Replying to a question on the scheme during the Question Hour, he said the Modi government has made it farmer-friendly by removing inconsistencies in the previous scheme. 
"
Bangladesh unrest not likely to impact India's overall trade balance: S&P,"Bangladesh is facing its worst political crisis since independence in 1971, with Prime Minister Sheikh Hasina resigning amid massive anti-government protests. 
"
The IEA’s divisive mission to decide the future of oil,"The International Energy Agency forecasts that the world will reach peak oil in 2029. Oil companies accuse it of playing climate politics 
"
Indian gold industry forms self-regulatory body with WGC backing,"The newly-formed Indian Association for Gold Excellence and Standards (IAGES) aims to promote fair, transparent and sustainable practices in the bullion industry, along with regulatory compliance, a code of conduct, and an audit framework, said Sachin Jain, CEO of WGC's Indian operations. 
"
Thali prices rise in July; tomato prices contribute to higher cost,"The cost of vegetarian thali was up 11 percent in July, while a non-vegetarian thali cost 6 percent compared with the previous month 
"
Quota Judgement: Reforming reservation will not be an easy task,"After the judgement, states have the ability to use empirical data to sub-divide quotas to reflect socio-economic disparities. The main implementation challenge lies in the political risks involved in undertaking such a redistribution exercise 
"
"Fin Min says India's economy resilient to West Asian conflict, US recession a bigger threat: Report","A potential recession in the US, India's largest export market, accounting for nearly 18% ($78 billion) of merchandise shipments in FY24, would be a more significant concern. 
"
Inflation target evades RBI's rate panel as rejig looms,"The six-member monetary policy committee (MPC), which includes three central bank officials and three external members, is recast every four years when the government appoints a new set of external members. 
"
Bangladesh situation to hurt India’s cotton exports; trade impact not so high,"Bangladesh was the top destination for India’s cotton exports in FY24 
"
RBI lays down regulatory principles for credit risk models,"""Inherently, model outputs are exposed to uncertainties as they are based on assumptions which may not manifest in the envisaged ways and may take different forms in a real-world scenario,"" the RBI said 
"
MCA’s Byju’s investigation likely to focus on use of SPV funds: Official,"The ROC, which operates under the ministry of corporate affairs, has completed an initial probe into Byju’s and has recommended a further investigation. 
"
MC Explains: How India's new broadcast bill could affect influencers like Dhruv Rathee and BeerBiceps Ranveer Allahbadia,"The draft law proposes to place influencers and content creators under government oversight. 
"
More smartphones than cereals: A story of India’s changing exports,"Smartphones are within a touching distance of replacing vehicles as one of India’s top exports 
"
Oil prices fall as US recession fears spark broader selloff,"Share markets also tumbled across Asia as U.S. recession fears sent investors rushing from risk assets while wagering that rapid rate cuts will be needed to drive economic growth 
"
Public sector banks' NPAs on Mudra loans fall to 3.4% in 2023-24: Nirmala Sitharaman,"This marks an improvement from 4.77 per cent in 2020-21, 4.89 per cent in 2019-20, and 3.76 per cent in 2018-19, she said in response to a query in the Lok Sabha during the Question Hour. 
"
"Google, Amazon, Walmart seek to join RBI's digital currency project","Indian fintech firms Cred and Mobikwik are the other two that have applied to join the pilot, the sources added. 
"
India’s budget has to be revenue surplus to invest adequately in human capital,"A revenue deficit can be seen as fiscal profligacy, where we continuously spend more than we earn and effectively borrow to repay the interest on earlier borrowings. On education and health India's spending is lower than even the sub-Saharan Africa average 
"
Indian economy likely to grow at 7-7.2% in FY25: Deloitte,"Deloitte India Economist Rumki Majumdar said, India will witness robust growth in the second half after a period of uncertainty in the first six months of the year. 
"
"Customs, banking reforms, incentives at par with China key to boost e-commerce exports to $350 billion: GTRI","The global cross-border e-commerce exports are projected to grow from USD 1 trillion in 2023 to USD 8 trillion by 2030 on account of the ability of online firms to deliver overseas products to consumers within 1-2 days, matching the speed and convenience of local supplies. 
"
Chart of the Day | The message from global food inflation for the MPC,"A sharp fall in the global prices of cereals is good news but edible oils are up, with the FAO Food Price index declining in July. Domestic inflation in cereals wheat and rice has also softened 
"
India's service activity eases to 60.3 in July: Survey,"Services exports had done better than goods exports in the previous fiscal 
"
Will Wayanad be a wake-up call for firm climate action?,"Disaster mitigation is as important as emissions reduction in drawing up a comprehensive plan for environmental protection 
"
A $1 trillion time bomb is ticking in the housing market,"More than 17 million homes, representing nearly 19% of total US home value, are at risk of suffering what could total $1.2 trillion in value destruction 
"
Moneycontrol Pro Weekender | Is the Fed behind the curve again?,"While rate cuts are welcome, it all depends on whether they lead to a soft landing, or whether they are needed to avoid a recession 
"
"The Reading List: August 2, 2024","Our research and opinion teams have curated articles and social media gems from the world of economy, business and finance for you catch up on the weekend 
"
"Business in the Week Ahead: August 5-9, 2024","RBI will release the monetary policy. Two new IPOs will open for subscription 
"
Retail Media Revolution: Transforming India's advertising landscape,"Retail media is reshaping advertising in India by blending e-commerce and data insights. This shift allows hyper-targeted ads and real-time consumer engagement, fostering a dynamic marketplace where brands, from local to national, can thrive in the evolving digital economy  
"
Moneycontrol Pro Panorama | Infosys and the unease of doing business,"On Moneycontrol Pro Panorama's August 2nd edition: ITC's cigarette business saves the day, Adani Vs Birla - its the battle of the giants, Centre’s stand on anti-conversion law, mixed outing for auto sector in July, and more 
"
New record of over 7.28 crore income-tax returns filed: Tax dept,"The filing of ITRs peaked on July 31, 2024 (the due date for salaried taxpayers and other non-tax audit cases), with over 69.92 lakh ITRs being filed on a single day 
"
MeitY raises alarm over data breaches impacting trust in DPI initiatives,"Distrust around India's DPI arises from privacy and security concerns. Issues include data breaches, unauthorised access, and potential misuse of the biometric and demographic data collected. 
"
Centre starts work on Annual Survey of Industries 2023-24,"The Annual Survey Industries helps estimate the number of organised manufacturing establishments in the country and the employment, value added of these enterprises 
"
"Rural jobs conundrum: Farm sector employment hits 17-year high in FY23, defying trends","Around 42% of employed Indians work in agriculture, hunting, forestry and fishing. The number of people employed in these sectors rose to 253 million in FY23, according to RBI KLEMS data. 
"
RIP semiconductor rally?," 
"
Bank of England summons up the courage to cut,"But the next move probably won’t come until November 
"
Excl: MCA likely to strike off upto 400 Chinese companies over next 3 months,"These companies are found to have incorporation related fraud or financial frauds. Some companies have an Indian director, but the bank account is operated from China. 
"
It’s Adani Vs Birla and Birla Vs Asian Paints in battle of giants,"Cement and paints markets are like chalk and cheese and strategies for dominance or entry are different. 
"
"RBI likely selling dollars to prevent rupee from hitting record low, traders say","The rupee was at 83.73 against the dollar as of 09:20 a.m. IST, just shy of its record low of 83.7450 hit on Wednesday. 
"
Where’s the competitive spirit in India’s duty drill?,"The World Tariff Profiles 2024 indicate that it’s high time for the country to shun the preference for protectionism 
"
Centre may not extend Mahila Samman Savings Certificate scheme beyond March 2025,"A government official said the Centre has targeted lower collections via small savings in FY25 as mop-up from some schemes may taper going ahead. 
"
India needs 3i strategy to avoid middle income trap; will take 75 years to reach a quarter of US per capita income: World Bank report,"India, China and 106 other countries need investment, innovation and infusion strategy to escape middle income trap, says World Bank report 
"
Economy momentum continues in July with some mixed signals,"GST collections back in double digits, PMI eases. Two wheeler companies perform well, car sales for major auto manufacturers down 
"
GST collections up 10.3% at Rs 1.82 lakh crore in July,"The numbers were higher than the previous month but lower than the GST mop-up in April 
"
RBI's tighter liquidity norms credit positive for banks: Moody's,"The central bank released a set of preliminary guidelines last month, including suggesting that banks will be required to allocate an additional 5% reduction in the stability of retail deposits that have internet and mobile banking access 
"
"Moneycontrol Pro Panorama | Powell signals new beginnings, will the RBI tune in?","In today's edition of Moneycontrol Pro Panorama: Gurgaon’s real estate rush explained, government's priorities reflect in Budget 2024 allocations, Gen AI needs better strategies for future growth, will VC funding turn the course for startups, and more 
"
Tea production declines in June 2024,"According to the latest data of Tea Board, production at the gardens of North India increased marginally to 117.56 million kilogrammes in June from 116.78 million kg in the similar previous period. 
"
Tyre production in some plants down 10% in July due to natural rubber scarcity: ATMA,"The availability of domestic Natural Rubber (NR) has taken a turn for the worse during the ongoing fiscal. 
"
"Strategic reforms needed to enhance India's appeal to global investors, attract FDI: GTRI","India attracted USD 44.4 billion in FDI (foreign direct investment) in FY2024, which is only 1.1 per cent of its GDP. 
"
"Commercial LPG price hiked Rs 6.5 per cylinder, ATF price up 2%","This is second straight monthly increase in jet fuel rates 
"
"Government may decriminalise delay in TCS filing in Finance Bill, says CBDT chairman","The proposed relief is being considered on the similar lines as announced for TDS in the Union Budget. 
"
What Opec’s next big goal should be,"The general consensus is that oil use needs to shrink by as much as 80 per cent by the middle of the century if we are to meet the Paris goals. The impact of such a fall will be devastating for many oil producers 
"
UPI transaction value stays above Rs 20 lakh crore for 3rd straight month in July,"Growth in UPI transactions remains in double digits 
"
"Manufacturing activity eases to 58.1 in July, experts foresee pickup in capex utilisation soon","The seasonally adjusted HSBC India Manufacturing Purchasing Managers’ Index remained higher than the long-term average 
"
Govt extends deadline for meeting MPS norms till Aug 2026,"The central government in the public interest provided exemption up to August 1, 2026, to increase public shareholding to at least 25 per cent in CPSEs and public sector banks and financial institutions, according to an office memorandum issued by the Ministry of Finance. 
"
What the budgetary allocations tell us about government priorities,"The share of the highways and railway ministries in total central government budgetary spending has gone up since pre-pandemic times, but the share of the education and health sectors has been whittled down 
"
Emerging assets climb as traders expect Fed to signal rate cuts,"MSCI’s index for stocks in developing nations rose the most in three weeks, partially buoyed by earnings and a rally in Chinese shares as weak data fueled hopes for stimulus. Still, the gauge is set to post its first monthly losses since January 
"
"Nasdaq, S&P 500 ride chip-stock wave before Fed decision; Microsoft falters","Both the S&P 500 and the Nasdaq hit one-week highs and were on track to log their biggest one-day gains since February 
"
Treasuries rally into Fed meeting with a September cut at stake,"The advances sent benchmark yields tumbling on Wednesday, with two-year yields down by as much as 4 basis points to 4.32%, the lowest since February 
"
MC Exclusive: Indian Oil mulls cancelling maiden green hydrogen tender again to revise bidding norms,"Sources indicate that IOCL received two bids for the project, one from a consortium that has IOCL itself as a partner. But it is considering revising norms and floating the tender again after feedback from other companies.   
"
Core sector output eases to 4% in June; Q1FY25 growth lower at 5.7%,"The Economic Survey pegged growth at 6.5-7 percent for FY25 
"
Fiscal deficit narrows to 8% of the full year estimate in Q1FY25,"The government reduced the fiscal deficit target for FY25 to 4.9 percent of the GDP compared with 5.1 percent 
"
Rupee rises 2 paise to 83.71 against US dollar in early trade,"At the interbank currency exchange, the domestic currency opened at 83.72, 1 paisa higher than the previous day's close 
"
Economic Survey’s 7.9 million non-farm jobs target is easily achievable: MC Analysis,"One worry is people switching back to agriculture — in FY23, the farm sector employed more people than it did over the past 17 years 
"
Moneycontrol Pro Panorama | China's slowing economy overshadows Middle East tensions in oil markets,"In Moneycontrol Pro Panorama's July 31st edition: RBI must send a more nuanced message to banks, growing remittances bring out India’s demographic dividend, state tax on mineral rights pose industry risk, reality of military aid in international relations, and more 
"
India's top private lenders see farm loan defaults rising amid weak rural economy,"The largest five private banks have reported greater bad loan additions in the June quarter, mostly driven by rising dues in agriculture and microfinance loans, which are popular in rural areas. 
"
SC to decide applicability of its judgment upholding state's power to levy tax on mineral extraction,"During the course of the hearing, Solicitor General Tushar Mehta, who appeared for the Union govt, told the court that making the judgement applicable retrospectively will have a big impact not only on private and public players involved in mineral extraction but on the economy as a whole. 
"
Foreign banks' purchases of Indian bonds hit record high in 2024,"The pick-up in activity came in the run-up to the inclusion of India's debt in the JPMorgan Emerging Market index last month and on hopes of better returns since interest rates are set to decline, several traders said. 
"
Finance Ministry denies report on short-term capital gains tax hike,"The 2024 Budget raised STCG tax on specific financial assets to 20 percent from 15 percent. 
"
Ind-Ra ups FY25 GDP growth forecast to 7.5%,"It said The ongoing growth momentum led by government capex, deleveraged balance sheets of corporates/banks, and incipient private corporate capex cycle has now found support from the union government budget. 
"
"India's July diesel, jet fuel exports to Singapore, Australia set to hit 2-1/2-year high","The jump in middle distillates exports from swing supplier India to the Asia Pacific will likely cap prices and refiners' margins in the region, while preventing a further build-up in inventories in Europe which have been weighing on prices there, the sources said. 
"
"Incentives worth Rs 9,721 cr claimed under PLI scheme for 9 sectors: Piyush Goyal","In a written reply to a question, Goyal said that an actual investment of Rs 1.23 lakh crore has been realised till March 2024 across 14 sectors, which has resulted in incremental production/ sales of over Rs 10.31 lakh crore and employment generation of around 8 lakh. 
"
Why did SC's 9-judge bench hold that states have the power to levy tax on mineral extraction?,"After the order was pronounced on July 24, the Centre urged the court to make the judgment applicable prospectively, while the states want it retrospectively. The issue is 60 years old 
"
India to keep popular bond tenors free of foreign investment curbs: Report,"All new Indian government bonds with a 14-year and 30-year tenor will no longer be accessible to foreign portfolio investors (FPIs) under the fully accessible route, the central bank had said in a release on Monday. 
"
Decoding Economics | Stock picking is alive and well,"An NBER paper says changes in portfolio weights explain the largest share of price changes at the individual stock level for all countries, with non-index or active funds being the main driver 
"
Growing remittances an excellent example of India’s demographic dividend,"RBI report says the ratio of remittances to GDP in India has gradually increased from 2.8 per cent in 2000 to 3.2 per cent in 2023 and is now above that of gross FDI inflows to GDP ratio, which was 1.9 per cent in 2023 
"
"Reserve Bank of India to hold rates in August, first cut in Q4","A sharp spike in food prices drove inflation in Asia's third-largest economy to a five-month high of 5.08% in June, well above the RBI's 4% medium-term target, suggesting the central bank will be wary of easing monetary policy too soon. 
"
Goyal pulls up industry for apathy towards govt's efforts to promote make-in-India,"Piyush Goyal further pointed out the low levels of participation from the industry to help improve policies around Ease of Doing Business (EODB) and National Single-window System (NSWS). The minister also asked industry to step up on ideas to help reduce the compliance burden of businesses. 
"
Sovereign gold bonds will get at least 12% total return: Revenue Secy,"Investors who participated in the SGB scheme 2016-17 -series 1, issued in August 2016, are nearing their final redemption, which is set for the first week of August 2024. 
"
Capex now top priority for the government: MC Analysis,"As capex spends by govt have gone up, education and health have not kept up 
"
Rupee edges up 1 paisa to close at 83.72 against US dollar,"The domestic currency was trading in a tight range of 83.72-83.74 throughout the session 
"
"Sebi spent Rs 62 cr in 5 years on investors' education, awareness on F&O trade risks","During FY 2023-24, Sebi spent Rs 2.73 crore from its Investor Protection and Education Fund (IPEF), Rs 11.93 crore in FY23, Rs 6.81 crore in FY22, Rs 28.84 crore in FY21 and Rs 11.84 crore in FY20, Minister of State for Finance Pankaj Chaudhary said in a written reply to the Rajya Sabha 
"
US: Democrats and Republicans share a delusion about productivity and wages,"The economy has its problems, but capital isn’t crushing labour 
"
Funding gap a major challenge for India’s biotechnology sector,"India is a leading global biotechnology hub, poised for substantial growth with a bioeconomy projected to reach $300 billion by 2030. Despite successes in biosimilars and healthcare, inadequate venture capital and regulatory constraints hinder its full potential. Overcoming these challenges through enhanced funding and infrastructure is crucial for India to excel in global biotech innovation 
"
Moneycontrol Pro Panorama | Power Grid and NTPC rev up capex in power sector,"In today's edition of Moneycontrol Pro Panorama: Smaller banks likely to have a good Q1FY25, changing landscape in cement industry, diamond industry losing its shine, UP byelections a litmus test for Yogi, and more 
"
"How many Agniveers can states absorb amid 600,000 police vacancies?","States and central police forces recruited nearly a lakh people in 2021. A 10 percent quota for Agniveers in the state police forces, if implemented in earnest, can help plug some of the gap. 
"
How to make a just transition in energy mix?,"The aspiration of becoming a developed nation makes it imperative that the churn in energy mix balances the social and economic needs of all sections of society 
"
Centre may set fiscal deficit target at 3.7-4.3% after 2025-26: Report,"The proposed fiscal deficit range of 3.7-4.3 percent post-FY26 is higher than the 2.5 percent target recommended by the N.K. Singh committee for FY23, which allowed a 0.5 percent deviation in exceptional circumstances. 
"
Here’s how to bypass the hurdle of credit-deposit growth mismatch,"Indian banks have experienced significant credit growth in the post-pandemic years, but weak deposit growth threatens to undermine this progress. Permitting banks to issue bonds could address the challenge of sluggish deposit growth 
"
"MC Explains| All you need to know about why RBI excludes 14-year, 30-year G-Secs from FAR","FAR enables non-residents to invest in specified government of India dated securities without any investment ceilings 
"
Traders fret as 32-hour central bank spree hangs over market,"Markets are split on whether the Bank of England will deliver its first rate cut since the pandemic on Thursday, lopping it from the current 5.25% 
"
US: Pete Buttigieg is Kamala Harris’ best choice for Vice President,"The most important quality for a running mate is being a good communicator, and the transportation secretary is the best the Democrats have  
"
Big business signals to US Federal Reserve it’s either rate cuts or job cuts,"The clear message from this earnings season is that companies are only keeping headcount steady in anticipation of lower borrowing costs ahead 
"
Southern states show the way on growth and poverty reduction,"States like Andhra Pradesh, Tamil Nadu and Telangana were more successful in poverty reduction because of growth. While UP, Bihar and Madhya Pradesh made substantial reductions too. While Punjab’s slow per capita income growth between FY16 and FY23, has slowed poverty alleviation 
"
India’s growth likely to be closer to 7.5% in FY25: NCAER DG Poonam Gupta,"Budget guidance on fiscal restraint is likely to keep the economy in good stead. 
"
Moneycontrol Pro Panorama | Cement Thalaivar bows out,"In this edition of Moneycontrol Pro Panorama: India needs to check its policy towards Chinese investment, markets poised for a turbulent week ahead, pros and cons of the budget explained in a nutshell, decoding corporate tax rates, and more 
"
"Salary payments, PF contributions could determine credit line for MSMEs","Banks are working on a new credit model for MSMEs and home loans which is based on parameters like payment of salaries, bill payments, PF contribution,  etc. This is likely to come into effect in October 2024. 
"
"Falling inflation, sturdy economy, happy Fed","Jay Powell & Co needn’t rush into a September cut 
"
India boosts planting of oilseeds after better monsoon rains,"Oilseed crops have been planted on about 17.17 million hectares (42.4 million acres), up 3.8% from a year earlier, according to a statement from the farm ministry on Friday. India is the world’s top importer of edible oils. 
"
"MeitY worried about the Big Tech 'making people vulnerable', flags spike in data usage","The government identified Google, Uber, Alibaba, Airbnb, Facebook and Amazon among the Big Tech players driving increased data consumption 
"
The Eastern Window: Time for India to change its policy towards Chinese investment?,"In a sign of policy reversal, the government’s Economic Survey has argued in favour of attracting Chinese funds. What is driving this move other than the economic logic of using Chinese funds and machinery to improve the manufacturing sector? The government must consider the political and military implications of such a move 
"
"Finance Minister hits out at Congress govt in Karnataka for high inflation, poor law and order","Responding to Karnataka Chief Minister Siddaramaiah’s statement that injustice was meted out to the state by the Centre, Sitharaman said the state’s economy worsened mainly due to the hike in prices of fuel, milk and stamp duty as well as poor capital expenditure. 
"
Not all residents leaving India require tax clearance certificates: FinMin,"The ministry added that only in certain cases would an individual need to obtain such a tax clearance. 
"
Focus on these 6 sectors post budget; pharma and IT could be dark horses,"The Government’s focus has shifted from PLI (production linked incentive) to ELI (Employment Linked Incentives). 
"
Budget 2024 – Sanctity of macro preserved without populism!,"The budget is well-balanced and disciplined for the Indian economy and should continue to foster growth with more inclusivity… well, until the next budget! 
"
Flavour of department has changed from enforcement to taxpayer centric: CBDT chairman,"Multiple litigations were not leading us anywhere, the procedures have been standardised, the chairman said. 
"
Bank of Maharashtra may meet 25% MPS norm in FY25: DFS Secy,"""It is unlikely that all banks will meet the MPS requirements in the current year as the gap in MPS among public sector banks (PSBs) is substantial, with figures as high as 97-98 percent for some."" 
"
"Govt asks public insurers to move out of motor, health insurance to reduce losses: DFS Secy","The performance of these public sector insurers will be reviewed in FY25 to plan any further capital infusion, he said. 
"
India has high tax-to-GDP ratio given its per capita income: Revenue secretary,"Formalisation would lead to increase in tax base and tax net, the revenue secretary said 
"
"Business in the Week Ahead (July 29- August 2, 2024)","In the coming week manufacturing production numbers for India and the UK will be released. Here are some key macro data that market participants will be keeping an eye out for 
"
"The Reading List: July 26, 2024","Here's a list of articles and social media gems from the world of economy, business and finance, curated by our research and opinion teams for you catch up on the weekend 
"
Core inflation decline may not be such a good thing: Economists,"India’s services inflation declined 2.67 percent in June, its lowest level since 2011 
"
Why the Economic Survey’s suggestion to target non-food inflation is misguided,"When food inflation is high and non-food inflation is low, cutting interest rates will first raise food prices that respond faster to demand side increases. The political response to impose export bans will reduce incentives to produce, thereby raising farm prices in the long run, and then headline inflation too  
"
Rupee declines 2 paise to close at record low of 83.72,"The currency was pressured by dollar demand from local oil companies, custodial banks and tepid risk sentiment. 
"
"Moneycontrol Pro Panorama | RBI fortifies the banking system, but at a cost","In this edition of Moneycontrol Pro Panorama: Budget announcement triggers mini gold rush, the developing AI conundrum, need better budget plans to tackle climate change, reasons for backlash on capital gains rationalisation, and more 
"
Mineral royalty revenue jumps 32% for states during FY17 to FY22,"Odisha and Chhattisgarh have witnessed a 47% surge in revenues from mining 
"
"In Budget 2024, catalysts introduced to augment growth for auto sector","India's auto sector has received a major boost from the government's recent policies which focus on encouraging local manufacturing and lessening regulatory constraints 
"
Financial services perspective of India’s Budget and the path to Viksit Bharat,"The Budget for FY24-25 is a forward looking one and it lays down a comprehensive framework for fostering economic growth, with a clear focus on inclusivity and sustainability. Its effective implementation would significantly contribute to the realization of the Viksit Bharat agenda 
"
Cutting through tax complexity in Budget 2024,"The budget announcements should give a positive signal to foreign investors about India’s intent to provide a benign tax regime 
"
Capital gains tax structure changes will help IFSC,"Budget’s changes will help outbound funds set up in IFSC raising money from resident investors. But the changes could have a negative effect on NAVs of offshore FPIs 
"
"FM Nirmala Sitharaman: Open to feedback on tax changes proposed in Budget 2024, but Finance Bill with Parliament now","The finance minister was addressing an open house organised by CNBC-TV18, where she called the Budget 2024 'futuristic'. 
"
"FM Sitharaman at CNBC-TV18's Open House Highlights: Open to hearing comments on tax changes, but the finance bill now rests in the house, says FM FM Sitharaman","FM Sitharaman at CNBC-TV18's Open House Highlights: Union finance minister Nirmala Sitharaman was addressing a CNBC-TV18 event on July 26 
"
RBI's proposed liquidity norms to raise demand for bonds,"Late on Thursday, the central bank proposed that banks apply an additional 5% reduction in the stability of retail deposits that have internet and mobile banking access. 
"
The Union Budget does not alter the investment case for gold,"Whether physical or digital (SGBs and ETFs), investors will remain largely unaffected by the government’s latest move 
"
Judgement that will alter both federal and mineral tax landscape,"The 8:1 judgement not just delivers closure to a long festering conflict, it can ease the fiscal landscape of most mineral-rich states that are among India’s poorer ones. But fragmentation in mineral taxation is the risk Gopal Mundhra 
"
Decoding Economics: IMF paper maps India’s distance from productivity frontier,"Overall, the researchers find that India’s PPP-adjusted labour productivity is only 12.2 percent of the median productivity in advanced economies, and 42.6 percent of the median productivity in emerging markets 
"
"Chart of the Day: Credit guarantees, forbearance have fuelled MSME credit","Special schemes have beefed up bank credit to MSMEs in the past 
"
